,jackpot,2nd,3rd,4th,5th,6th,7th,8th,9th,no_match
trial 1,0.0,0.0,0.0,7e-05,0.0001,0.00153,0.00133,0.01123,0.027,0.95874
trial 2,0.0,0.0,0.0,4e-05,5e-05,0.00162,0.00154,0.01103,0.0273,0.95842
trial 3,0.0,0.0,0.0,2e-05,8e-05,0.00181,0.00147,0.01089,0.02731,0.95842
trial 4,0.0,0.0,0.0,1e-05,7e-05,0.00146,0.00132,0.01136,0.02726,0.95852
trial 5,0.0,0.0,0.0,3e-05,8e-05,0.00157,0.00158,0.0111,0.02807,0.95757
trial 6,0.0,0.0,0.0,4e-05,0.00014,0.0017,0.00151,0.01078,0.02693,0.9589
trial 7,0.0,0.0,0.0,2e-05,9e-05,0.00159,0.00154,0.01121,0.02765,0.9579
trial 8,0.0,0.0,0.0,2e-05,5e-05,0.00169,0.00142,0.0113,0.02731,0.95821
trial 9,0.0,0.0,0.0,5e-05,6e-05,0.00171,0.00144,0.01161,0.02607,0.95906
trial 10,0.0,0.0,0.0,6e-05,5e-05,0.00171,0.00134,0.0107,0.02767,0.95847
trial 11,0.0,0.0,1e-05,1e-05,0.00011,0.0015,0.00159,0.0109,0.02797,0.95791
trial 12,0.0,0.0,0.0,7e-05,9e-05,0.00181,0.00133,0.01099,0.02665,0.95906
trial 13,0.0,0.0,0.0,2e-05,7e-05,0.00167,0.00147,0.01131,0.02668,0.95878
trial 14,0.0,0.0,0.0,1e-05,5e-05,0.00157,0.0015,0.01126,0.02676,0.95885
trial 15,0.0,0.0,0.0,3e-05,7e-05,0.0017,0.00156,0.0105,0.02821,0.95793
trial 16,0.0,0.0,0.0,4e-05,6e-05,0.00143,0.00145,0.01074,0.02749,0.95879
trial 17,0.0,0.0,0.0,2e-05,5e-05,0.00144,0.0015,0.01103,0.02798,0.95798
trial 18,0.0,0.0,0.0,1e-05,7e-05,0.00173,0.00149,0.01118,0.02621,0.95931
trial 19,0.0,0.0,0.0,2e-05,0.00012,0.0015,0.00143,0.01094,0.02798,0.95801
trial 20,0.0,0.0,0.0,4e-05,7e-05,0.00155,0.00154,0.01063,0.02691,0.95926
trial 21,0.0,0.0,0.0,0.0,5e-05,0.00186,0.0015,0.01099,0.02743,0.95817
trial 22,0.0,0.0,1e-05,2e-05,9e-05,0.00156,0.00148,0.01108,0.02784,0.95792
trial 23,0.0,0.0,0.0,3e-05,0.0001,0.00133,0.00142,0.01073,0.02703,0.95936
trial 24,0.0,0.0,1e-05,4e-05,0.0001,0.00161,0.00136,0.01096,0.02684,0.95908
trial 25,0.0,0.0,0.0,5e-05,3e-05,0.00167,0.00138,0.01121,0.02734,0.95832
trial 26,0.0,0.0,0.0,2e-05,1e-05,0.00174,0.00141,0.01169,0.0279,0.95723
trial 27,0.0,0.0,0.0,0.0,9e-05,0.00156,0.00142,0.01047,0.02708,0.95938
trial 28,0.0,0.0,0.0,1e-05,7e-05,0.00183,0.00115,0.01151,0.02678,0.95865
trial 29,0.0,0.0,1e-05,3e-05,2e-05,0.00196,0.00155,0.01112,0.02759,0.95772
trial 30,0.0,0.0,0.0,0.0,8e-05,0.00184,0.00153,0.01148,0.02718,0.95789
trial 31,0.0,0.0,1e-05,1e-05,8e-05,0.00168,0.00156,0.01088,0.02655,0.95923
trial 32,0.0,0.0,0.0,2e-05,8e-05,0.0015,0.00126,0.0113,0.02653,0.95931
trial 33,0.0,0.0,0.0,1e-05,3e-05,0.00179,0.00119,0.01083,0.02658,0.95957
trial 34,0.0,0.0,0.0,1e-05,8e-05,0.00163,0.0013,0.01056,0.02699,0.95943
trial 35,0.0,0.0,0.0,3e-05,8e-05,0.00163,0.00135,0.01141,0.02757,0.95793
trial 36,0.0,0.0,0.0,1e-05,4e-05,0.00159,0.00147,0.01122,0.02758,0.95809
trial 37,0.0,0.0,0.0,2e-05,5e-05,0.00191,0.00127,0.01167,0.02793,0.95715
trial 38,0.0,0.0,0.0,2e-05,0.0001,0.00157,0.00133,0.01121,0.02674,0.95903
trial 39,0.0,0.0,0.0,2e-05,7e-05,0.00173,0.0014,0.01128,0.02635,0.95915
trial 40,0.0,0.0,0.0,2e-05,7e-05,0.00174,0.00157,0.01127,0.02733,0.958
trial 41,0.0,0.0,0.0,1e-05,6e-05,0.00175,0.0012,0.01116,0.02787,0.95795
trial 42,0.0,0.0,1e-05,0.0,5e-05,0.00165,0.00143,0.01073,0.02705,0.95908
trial 43,0.0,0.0,0.0,1e-05,3e-05,0.00153,0.0015,0.01099,0.02751,0.95843
trial 44,0.0,0.0,0.0,3e-05,4e-05,0.00147,0.00141,0.01156,0.02764,0.95785
trial 45,0.0,0.0,0.0,3e-05,5e-05,0.00182,0.00124,0.01064,0.02769,0.95853
trial 46,0.0,0.0,0.0,2e-05,5e-05,0.00171,0.00141,0.01146,0.02862,0.95673
trial 47,0.0,0.0,0.0,6e-05,0.0001,0.00154,0.00148,0.01145,0.02663,0.95874
trial 48,0.0,0.0,0.0,1e-05,4e-05,0.00172,0.00156,0.01051,0.02809,0.95807
trial 49,0.0,0.0,0.0,1e-05,6e-05,0.00182,0.00132,0.01192,0.02689,0.95798
trial 50,0.0,0.0,0.0,2e-05,7e-05,0.00168,0.00133,0.0109,0.02812,0.95788
trial 51,0.0,0.0,0.0,1e-05,9e-05,0.00172,0.00131,0.01087,0.02711,0.95889
trial 52,0.0,0.0,0.0,5e-05,0.0001,0.00156,0.00122,0.01133,0.02829,0.95745
trial 53,0.0,0.0,0.0,3e-05,6e-05,0.00165,0.00143,0.01134,0.02681,0.95868
trial 54,0.0,0.0,0.0,5e-05,4e-05,0.00152,0.00125,0.01107,0.02696,0.95911
trial 55,0.0,0.0,0.0,2e-05,0.00012,0.00151,0.00159,0.01076,0.02686,0.95914
trial 56,0.0,0.0,0.0,1e-05,6e-05,0.0018,0.00133,0.01072,0.02627,0.95981
trial 57,0.0,0.0,1e-05,1e-05,5e-05,0.00173,0.00146,0.0113,0.0273,0.95814
trial 58,0.0,0.0,0.0,1e-05,6e-05,0.00159,0.00152,0.01196,0.02637,0.95849
trial 59,0.0,0.0,0.0,4e-05,0.00012,0.00157,0.00165,0.01171,0.02703,0.95788
trial 60,0.0,0.0,0.0,1e-05,0.0001,0.00162,0.00144,0.01093,0.0269,0.959
trial 61,0.0,0.0,1e-05,1e-05,0.00011,0.00168,0.0013,0.0114,0.02727,0.95822
trial 62,0.0,0.0,0.0,1e-05,5e-05,0.00184,0.00162,0.01116,0.02816,0.95716
trial 63,0.0,0.0,0.0,1e-05,8e-05,0.00172,0.00137,0.01058,0.02766,0.95858
trial 64,0.0,0.0,0.0,0.0,6e-05,0.00189,0.00135,0.0111,0.02782,0.95778
trial 65,0.0,0.0,0.0,0.0,8e-05,0.00158,0.00132,0.01078,0.02756,0.95868
trial 66,0.0,0.0,0.0,2e-05,8e-05,0.00168,0.00132,0.01158,0.02781,0.95751
trial 67,0.0,0.0,0.0,3e-05,7e-05,0.0016,0.00148,0.01066,0.02725,0.95891
trial 68,0.0,0.0,0.0,4e-05,3e-05,0.00166,0.00143,0.01164,0.02707,0.95813
trial 69,0.0,0.0,0.0,4e-05,6e-05,0.00177,0.00136,0.01065,0.02746,0.95866
trial 70,0.0,0.0,0.0,4e-05,5e-05,0.00166,0.00132,0.01091,0.0277,0.95832
trial 71,0.0,0.0,0.0,5e-05,9e-05,0.0015,0.00139,0.01156,0.02776,0.95765
trial 72,0.0,0.0,0.0,3e-05,3e-05,0.00157,0.00152,0.01153,0.02667,0.95865
trial 73,0.0,0.0,1e-05,6e-05,6e-05,0.00171,0.00161,0.01147,0.02651,0.95857
trial 74,0.0,0.0,0.0,2e-05,5e-05,0.0016,0.00148,0.01113,0.02606,0.95966
trial 75,0.0,0.0,0.0,4e-05,0.00013,0.0017,0.00146,0.01164,0.02713,0.9579
trial 76,0.0,0.0,0.0,1e-05,9e-05,0.00161,0.00149,0.01058,0.0276,0.95862
trial 77,0.0,0.0,0.0,0.0,0.00015,0.00135,0.00162,0.01091,0.02752,0.95845
trial 78,0.0,0.0,0.0,2e-05,9e-05,0.0015,0.0014,0.01176,0.02742,0.95781
trial 79,0.0,0.0,0.0,3e-05,0.0001,0.00155,0.00142,0.01105,0.02701,0.95884
trial 80,0.0,0.0,1e-05,1e-05,5e-05,0.00156,0.00139,0.01131,0.02637,0.9593
trial 81,0.0,0.0,0.0,5e-05,4e-05,0.0017,0.00126,0.01169,0.02644,0.95882
trial 82,0.0,0.0,0.0,0.0,4e-05,0.00165,0.00159,0.01081,0.02643,0.95948
trial 83,0.0,0.0,0.0,9e-05,7e-05,0.00161,0.00137,0.01094,0.02701,0.95891
trial 84,0.0,0.0,0.0,1e-05,3e-05,0.00139,0.00128,0.01079,0.02806,0.95844
trial 85,0.0,0.0,0.0,2e-05,5e-05,0.00177,0.00151,0.01169,0.02708,0.95788
trial 86,0.0,0.0,0.0,4e-05,5e-05,0.00156,0.00143,0.01084,0.02734,0.95874
trial 87,0.0,0.0,0.0,1e-05,6e-05,0.00167,0.00147,0.01071,0.02671,0.95937
trial 88,0.0,0.0,0.0,2e-05,0.0,0.00153,0.00156,0.01113,0.02765,0.95811
trial 89,0.0,0.0,0.0,0.0,0.0001,0.00211,0.00151,0.01166,0.02783,0.95679
trial 90,0.0,0.0,0.0,4e-05,8e-05,0.00174,0.00157,0.01107,0.0273,0.9582
trial 91,0.0,0.0,0.0,3e-05,7e-05,0.00162,0.00125,0.01087,0.02743,0.95873
trial 92,0.0,0.0,1e-05,2e-05,0.00012,0.00169,0.00154,0.01111,0.02802,0.95749
trial 93,0.0,0.0,0.0,2e-05,2e-05,0.00152,0.00155,0.01149,0.02732,0.95808
trial 94,0.0,0.0,0.0,2e-05,0.00011,0.00185,0.00154,0.011,0.02708,0.9584
trial 95,0.0,0.0,0.0,2e-05,4e-05,0.0016,0.00151,0.01149,0.02639,0.95895
trial 96,0.0,0.0,1e-05,3e-05,8e-05,0.00178,0.00153,0.0111,0.02694,0.95853
trial 97,0.0,0.0,1e-05,1e-05,5e-05,0.00152,0.00134,0.01136,0.0271,0.95861
trial 98,0.0,0.0,0.0,1e-05,8e-05,0.00168,0.00123,0.01116,0.02716,0.95868
trial 99,0.0,0.0,0.0,2e-05,9e-05,0.0018,0.00123,0.01123,0.0271,0.95853
trial 100,0.0,0.0,0.0,1e-05,9e-05,0.00155,0.0015,0.01148,0.02646,0.95891
trial 101,0.0,0.0,0.0,2e-05,4e-05,0.00167,0.00145,0.01079,0.02728,0.95875
trial 102,0.0,0.0,0.0,4e-05,5e-05,0.00164,0.00126,0.01127,0.02729,0.95845
trial 103,0.0,0.0,0.0,4e-05,9e-05,0.00173,0.00132,0.01024,0.02629,0.96029
trial 104,0.0,0.0,0.0,5e-05,6e-05,0.00162,0.00142,0.01096,0.02627,0.95962
trial 105,0.0,0.0,0.0,5e-05,0.0001,0.0017,0.00154,0.01121,0.02689,0.95851
trial 106,0.0,0.0,0.0,0.0,0.0001,0.00157,0.00149,0.0114,0.02737,0.95807
trial 107,0.0,0.0,0.0,0.0,5e-05,0.00162,0.00158,0.01121,0.02735,0.95819
trial 108,0.0,0.0,0.0,1e-05,3e-05,0.0016,0.00157,0.0115,0.0266,0.95869
trial 109,0.0,0.0,0.0,7e-05,6e-05,0.00175,0.00158,0.01094,0.02758,0.95802
trial 110,0.0,0.0,0.0,4e-05,1e-05,0.00167,0.00149,0.0108,0.02735,0.95864
trial 111,0.0,0.0,0.0,1e-05,5e-05,0.00168,0.00151,0.01108,0.02776,0.95791
trial 112,0.0,0.0,0.0,1e-05,9e-05,0.00163,0.00153,0.01137,0.02671,0.95866
trial 113,0.0,0.0,0.0,2e-05,2e-05,0.00171,0.00136,0.01146,0.02775,0.95768
trial 114,0.0,0.0,1e-05,2e-05,3e-05,0.0017,0.00157,0.01111,0.02717,0.95839
trial 115,0.0,0.0,0.0,5e-05,6e-05,0.00173,0.00132,0.01079,0.02761,0.95844
trial 116,0.0,0.0,1e-05,5e-05,4e-05,0.00156,0.00135,0.01113,0.02754,0.95832
trial 117,0.0,0.0,0.0,1e-05,5e-05,0.00172,0.0015,0.01082,0.02768,0.95822
trial 118,0.0,0.0,0.0,1e-05,2e-05,0.00162,0.00135,0.01111,0.02776,0.95813
trial 119,0.0,0.0,0.0,3e-05,7e-05,0.00172,0.00128,0.01086,0.02686,0.95918
